Valid_citing_DOI,Invalid_cited_DOI
10.1007/s10900-019-00739-1,10.1093/aging/afy169
10.3389/fnbeh.2020.00004,10.1016/j.bbi.2009.12.2009
10.1007/s11103-020-00962-8,10.1101/gr.849004.1
10.1161/01.atv.19.4.1134,10.1161/atvb.16.12.1448
10.7899/jce-12-32,10.1002/j.0022-0337.2002.66.3.tb03517.x
10.1161/01.cir.60.7.1464,10.1161/circ.52.4.1157268
10.1080/17470919.2013.873078,10.1093/brain/aw1004
10.1007/s10854-020-03896-5,10.1103/physrevb.83.184301s
10.1145/1352322.1352227,10.5555/938983.939722
10.1161/01.cir.0000097002.69209.cd,10.1161/circ.91.12.2995
10.1161/01.res.78.1.137,10.1161/res.74.5.8156647
10.1108/jec-01-2020-0010,10.1007/s2232-019-00330-z
10.1080/01691864.2012.685223,10.1163/156855307781746061
10.1108/aaouj-06-2020-0039,10.1080/105805.30.2011.536115
10.1161/01.hyp.0000092882.65699.19,10.1161/hyp.38.5.1049
10.1080/09243453.2015.1114500,10.1044/0161-1461
10.1007/s13744-018-0598-3,10.1152/ajpregu.00297
10.1080/10643389.2019.1565554,10.1016/j.ram.2016.11.007.x
10.3280/para2013-002013,10.7208/chicago/9780226114798.001.000
10.1161/01.cir.42.5.903,10.1161/circ.1.4.536
10.1155/2013/875369,10.1002/art.25378
10.1161/circimaging.109.923672,10.1161/circ.99.6.763
10.1080/07491409.2020.1834036,10.5964/ejop.v12i13.1105
10.1016/b978-072160361-2.50015-6,10.3109/03093649709164551
10.1080/15384047.2017.1373212,10.1038/nature14129.
10.3390/mi11100886,10.1038/s41378-020-0143-5
10.1161/01.cir.96.5.1542,10.1161/res.62.2.3338122
10.3835/plantgenome2017.10.0089,10.1007/s00122‐006‐0352‐9
10.1145/2785830.2785886,10.5555/851037.856538
10.1007/s13205-018-1393-x,10.1016/j.plantsci.2007.07.019
10.1038/s41396-019-0458-0,10.1098/rspb.2016.159
10.3389/fmicb.2020.00123,10.2527/jas2012-5118
10.1161/01.cir.45.1.37,10.1161/circ.40.6.905
10.1161/01.res.0000059415.25070.54,10.1161/res.88.10.1004
10.1101/249227,10.1016/j.celrep.2016.05.039.
10.1161/01.cir.49.5.1019-b,10.1161/circ.45.4.878
10.1080/0092623x.2019.1654579,10.1007/s111999-012-0164-0
10.4252/wjsc.v6.i2.163,10.1101/cshperspect.a007732a007732
10.1161/01.cir.98.14.1414,10.1161/circ.74.5.3769170
10.1177/2053019613516290,10.1088/1748–9326/8/1/011001
10.1080/15377857.2016.1171819,10.1111/j.1460–2466.2006.00009.x
10.1161/hypertensionaha.107.183885,10.1161/circ.83.2.1671346
10.1007/s11901-016-0321-y,10.4093/dmj.2016.40.e11
10.14710/jwl.8.1.84-95,10.3828/idpr.29.4.4.
10.1186/s13068-020-01830-9,10.1002/bbb.16344
10.1145/2858788.2688515,10.5555/645670.665370
10.1007/s12650-020-00696-1,10.1057/ivs.2010.10
10.1161/hc0402.102931,10.1161/circ.92.3.342
10.3390/ani10030527,10.2310/6180.2009.00035
10.3389/fphys.2018.01503,10.1136/jnnp.54.3.21
10.1002/9781119300762.wsts0035,10.1038/s41598‐018‐24057‐2
10.1145/1353535.1346298,10.5555/822079.822712
10.1177/0001839219832813,10.1287/mnsc.2017.2879.
10.1161/01.cir.96.7.2376,10.1161/res.77.5.1030
10.1161/01.str.30.1.16,10.1161/str.25.5.8165689
10.1161/01.cir.101.9.955,10.1161/circ.77.2.2962786
10.1161/01.cir.96.6.2069,10.1161/circ.88.5.8222108
10.1080/01495739.2019.1629854,"10.1007/s00707-018-2357-2,"
10.1049/mnl.2013.0105,10.1007/s00289‐012‐0726‐x
10.1161/01.res.0000162000.03997.65,10.1161/circ.99.6.800
10.1038/pr.2017.274,10.1159/000342545
10.1007/978-3-030-47956-5_17,10.5281/zenodo.3243834
10.1101/401588,10.18637/jss.v067.i0
10.1161/circulationaha.112.153619,10.1161/str.21.11.2237954
10.1177/1756284819834511,10.1136/gutjnl-2018-316371.
10.1093/mnras/staa2473,10.1007/978-90-277-2155-6_17
10.1108/jedt-07-2020-0279,10.5267/j.ijiec.2014.10.001.
10.1080/16742834.2019.1617626,10.1256/gj.01.211
10.1140/epjp/s13360-020-00940-5,10.1007/s10825018-1278-6
10.1007/s11738-020-03107-y,10.1093/jxb/err2
10.3390/buildings9040095,10.1061/9780784480502.018]
10.2478/s11696-012-0183-x,10.1006/jcat.2001.3474.http://dx.doi.org/10.1006/jcat.2001.3474
10.3389/fphar.2014.00234,10.3389/fphar.2r.2014.00120
10.1177/0011392119886863,10.2307/j.ctv14gpj55
10.1080/15548627.2017.1379633,10.1093/hmg/ddu395.
10.1161/01.str.0000236053.37695.15,10.1161/str.29.1.23
10.1145/3360047,10.5555/998675.999448
10.1177/1942602x13497666,10.1542/peds.2008–0382
10.1080/02699206.2019.1619095,10.1044/1092-4388(2012/11-0316)a
10.1053/sonu.2001.27916,10.1634/theoncologist.4-1-45
10.1161/01.cir.104.3.365,10.1161/circ.99.19.2503
10.1161/01.res.72.2.341,10.1161/res.57.5.4053303
10.1101/2020.04.28.065938,10.1093/molbev/msx148.
10.1007/978-3-319-76162-6_3,10.1007/s11051–014–2838-8
10.1002/2015ja022155,10.5194/angeo‐23‐3775‐2005
10.1145/3276604.3276618,10.5555/1946313.1946326
10.1063/1.3521397,10.1016./j.pecs.2004.08.002
10.3390/su12219244,10.5829/idosi.wasj.2015.33.09.156111
10.1525/sp.2009.56.2.267,10.2307/4106140
10.1016/j.ijdevneu.2017.01.008,10.1007/s00221‐015‐4243‐7
10.1161/01.cir.88.5.2139,10.1161/circ.83.2.1991363
10.1049/trit.2019.0018,10.1007/s00170‐018‐1925‐x
10.3923/pjbs.2020.1473.1480,10.1515/iaast.0976-4828.10.2.172177
10.1177/1748895817728381,10.1080/10439463.2016.1151881.
10.1161/01.cir.91.5.1480,10.1161/res.53.2.6883644
10.1161/01.res.0000186188.38344.13,10.1161/atvb.20.9.2094
10.1161/01.cir.42.2.347,10.1161/circ.33.3.426
10.1080/10509674.2012.751952,10.1111/j.1745–9125.1990.tb01330.x
10.1139/gen-2012-0110,10.4454/jpp.v92i1.10
10.1145/2768177.2768178,10.5555/1965079
10.1186/s13662-020-03177-9,10.1016/j.aej.2019.12.02
10.1161/01.res.21.5.717,10.1161/res.21.3.341
10.1007/s11145-018-9875-0,10.1111/j.1540-5826.2011.00342
10.1155/2015/176238,10.1175/1520-0442(1993)00660;1754:saivor62;2.0.co;2
10.3835/plantgenome2013.03.0007,10.1186/1471‐2229‐12‐16
10.1177/0959683620981709,10.1016/j.quascirev.2015.05.012.
10.1145/2508148.2485969,10.5555/2014698.2014902
10.1161/01.cir.91.3.776,10.1161/circ.89.1.8281670
10.1145/3025171.3025191,10.5555/1953048.2078195
10.1161/01.str.0000078840.96473.20,10.1161/str.30.8.1591
10.1007/978-3-319-61055-9_2,10.1186/2212-9790-13-1
10.1161/01.str.30.2.371,10.1161/str.26.11.1990
10.2307/4088412,10.2307/4217331
10.1177/2632352420975043,10.1111/j.1753-6405.2012.00825.x.
10.1145/2593882.2593896,10.5555/2486788.2486848
10.1161/01.atv.0000091250.53231.4d,10.1161/atvb.16.8.926
10.1161/res.90.1.8,10.1161/hyp.37.2.408
10.1161/01.atv.19.9.2148,10.1161/str.27.10.1896
10.2139/ssrn.3358930,10.4103/0975-�-7406.163460>accessed8
10.1007/978-3-030-16581-9_6,10.5829/idosi.mejsr.2013.16.08.11096
10.1145/3320269.3384730,10.5555/2028040.2028050
10.1145/3424636.3426896,10.5555/3128975.3129006
10.1063/1.4931709,10.1088/1009-0630/17/1/01)
10.1161/strokeaha.109.555169,10.1161/str.29.5.949
10.1161/circ.112.8.iii,10.1161/circ.98.10.941
10.1161/hypertensionaha.110.152892,10.1161/hyp.30.3.422
10.1145/3276500,10.5555/1764606.1764620
10.1161/01.res.0000089257.94002.96,10.1161/res.78.5.750
10.1007/978-3-662-48842-3_15,10.1007/s00384-013-1657–1
10.1161/01.atv.17.11.2737,10.1161/str.24.3.8446976
10.3389/fpsyg.2018.01616,10.3389/fpsyg.2012.00382.
10.1161/01.cir.0000127958.21003.5a,10.1161/circ.99.21.2720
10.1161/01.hyp.0000196685.91424.01,10.1161/hyp.31.5.1166
10.1161/circulationaha.120.048378,10.1161/circ.92.5.1355
10.1080/15332861.2015.1121459,10.2753/jec1086-4415150203.
10.1113/jphysiol.2014.270892,10.3748/wjg.v18.i37.5151
10.1161/hy0202.103129,10.1161/res.63.3.3409490
10.1080/19477503.2017.1401033,10.3102/0013189×08329195
10.2478/sjecr-2018-0073,10.1093/humupd/dml03310.1007
10.2134/agronj2019.02.0079,10.1007/s11119‐004‐5318‐9
10.1007/s10853-016-0370-1,10.10007/s10853-015-9169-8
10.1007/978-1-4939-8552-4_6,10.1038/:9604
10.1016/j.jup.2016.02.001,10.17813/maiq.12.1.b05j1087v7pxg382
10.1145/2943782,10.5555/2922514.2922654
10.1007/s13364-018-0408-7,10.1155/2014/28694
10.1080/23269995.2014.900395,10.1080/13569310500395834.
10.1161/01.res.84.9.1095,10.1161/circ.90.6.7994847
10.1093/eurheartj/ehq482,10.1059/0003-4819-152-5-201003020-00004
10.1161/hh0801.090537,10.1161/circ.74.5.3769170
10.3280/pds2015-003007,10.1177/135910530505530
10.3389/fpls.2016.01333,10.1111/j.1672-9072.2007.00393.x
10.1080/10413200.2018.1512535,10.1016/j.smr(2009).03.001
10.1161/01.atv.19.2.212,10.1161/circ.88.1.7686453
10.1111/psyp.12062,10.1111/j.1469‐8986.1993.tb03209.x
10.1145/3328529.3328548,10.5555/1388316.1388329
10.1007/5584_2018_144,10.1177/1474515117737766.
10.1038/s41598-017-01593-8,10.1130/0016-7606
10.1080/02827581.2016.1195866,10.1007/s11842-005-0024-7
10.1161/01.cir.28.5.906,10.1161/circ.10.2.161
10.1126/scitranslmed.3003678,10.1059/0003-4819-114-11-954
10.1080/13218719.2014.949397,10.1348/135532509´449361
10.1007/978-3-030-56084-3_2,10.1212/1001.wnl.0000258549.0000213334.0000258516
10.1155/2014/189824,10.1016/s0140-67360961933-4
10.1088/1757-899x/956/1/012007,10.1016/i.nds.2006.ll.001
10.2307/1310785,10.2307/1717947
10.1007/978-3-662-59613-5_76-1,10.1038/ncomms16322
10.1007/s13201-020-01250-y,10.1007/-s13762-014-0714-9
10.1186/s13148-019-0633-1,10.1073/pnas.141126111
10.1161/circresaha.109.213199,10.1161/res.89.1.20
10.1007/978-3-030-41862-5_118,10.9790/0661-173696106
10.1161/atvbaha.112.252700,10.1161/circ.104.20.2391
10.1007/s10566-017-9417-y,10.2307/3325799
10.1080/07315724.2020.1713246,10.1111/j.1600–0838.2009.01005.x
10.1161/01.res.49.6.1268,10.1161/res.47.6.7438339
10.1186/s43014-020-00037-7,10.3390/nu1107145
10.1007/s10973-019-08716-5,10.5281/zendo.1098423
10.1111/jomf.12321,10.1007/s11205-014-083
10.1007/s12035-015-9608-1,10.1523/jneurosci.4590-13
10.3389/fphys.2018.01691,10.1016/j.physbeh.2017.09.023.
10.1161/01.str.16.1.5,10.1161/circ.54.3.947567
10.1049/mnl.2018.5169,10.1007/s12541‐015‐0047‐8
10.1161/circinterventions.114.002025,10.1161/circ.99.17.2345
10.1177/0038040715617224,10.2307/2776679
10.3280/pds2016-003002,10.1111/jonm.1228
10.1080/02726351.2015.1102782,10.1016/0166–6622(82)80079–6
10.3389/fphar.2020.555753,10.3870/j.issn.1004-0781.2020.04.0
10.3389/fneur.2020.00787,10.1111/j.1572–0241.2000.03047.x
10.1039/d0ra04366d,10.19346/j.cnki.1000-4092.2017.01.008
10.5352/jls.2009.19.10.1352,10.1234/12345678
10.1007/s10826-015-0231-6,10.17761/ijyt.22.1.7716244t75u4l702
10.1007/s13197-020-04562-8,10.1016/j.foodchem.2016.07.1177
10.3389/fonc.2020.01504,10.1016/s0945–053x(99)00053–0
10.1145/3297280.3297484,10.5555/3191835.3191838
10.1080/00140139.2018.1501093,10.1016/j.jss.2014.04.032.
10.1161/01.cir.97.17.1731,10.1161/circ.92.1.88
10.1161/01.atv.19.5.1218,10.1161/atv91.13.2.8427866
10.2979/africatoday.57.4.71,10.2307/1046712
10.2478/s11696-014-0601-3,10.1021/jp8090304.http://dx.doi.org/10.1021/jp8090304
10.1080/21505594.2016.1216283,10.1016/j.fitote.20-10.07.020
10.1177/2515841420917783,10.1517/14712598.2016.1167182.
10.1369/0022155418757443,10.1038/nrrheum.2009.179.
10.2478/s11696-013-0510-x,10.1021/la904014z.http://dx.doi.org/10.1021/la904014z
10.1080/05704928.2018.1467438,10.1046/j.1365-2818.2000.00710.x.
10.1161/01.cir.48.3.549,10.1161/circ.43.1.15
10.1016/j.ijadhadh.2020.102760,10.15376/biores.4.1.370-404
10.1145/2832912,10.5555/2095116.2095122
10.1161/circulationaha.118.037803,10.1161/circ.83.6.1828192
10.1525/sp.2007.54.1.47,10.2307/1048677
10.1161/01.cir.70.5.876,10.1161/circ.55.1.830205
10.1145/3362789.3362901,10.5555/2870700.2870701
10.1186/s12967-020-02483-w,10.1007/s00038-020-01399
10.1073/pnas.1800294115,10.1127/0935-1221/2001/0013-0863
10.1145/378995.379002,10.1145/279358.279403
10.1161/01.cir.0000079171.43055.46,10.1161/circ.62.1.7379284
10.1145/3424659,10.5555/3118756.3119007
10.1080/00393541.2005.11652810,10.1080/00043125.1978.11651925
10.1161/01.atv.21.2.208,10.1161/atvb.18.5.677
10.1007/s41101-016-0009-8,10.1016/jaej.2015.08.006
10.1145/2783258.2783314,10.5555/1996889.1996934
10.1161/cir.0000000000000535,10.1161/circ.87.6.8504509
10.31202/ecjse.407306,10.1016/j.solmat.2017.12.013.
10.1080/13632752.2018.1461476,10.1097/01.mej.0000072631.17469.71
10.1007/s11469-015-9610-x,10.1007/110899-010-9218-9
10.1179/oeh.1998.4.2.71,10.1176/appi.ajp.131.10.1121
10.1080/15332276.2019.1690956,10.1037/0022-3514.43.5.9971
10.3389/fsufs.2018.00045,10.1016/j.jenvman.2n.2016.04.036
10.1016/j.jamcollsurg.2013.12.022,10.1097/01.sla.0000150066.83563.52
10.1161/01.cir.103.4.589,10.1161/circ.100.17.1770
10.1145/2675683.2675686,10.5555/1266366.1266532
10.1002/9781119721932.ch1,10.1007/s10641‐014‐0221‐3
10.1080/10570314.2019.1635266,10.1037/a002463
10.1145/3275243,10.5555/3195638.3195662
10.1002/j.0022-0337.2008.72.1.tb04450.x,10.1002/j.0022-0337.2004.68.3.tb03755.x
10.1145/3144769.3144772,10.5555/2386230.2386245
10.1161/01.cir.72.6.1244,10.1161/circ.61.2.7351067
10.1002/pen.23698,10.17485/ijst/2009/v2i2.15
10.2478/s11696-013-0521-7,10.1016/j.exppara.2004.01.002.http://dx.doi.org/10.1016/j.exppara.2004.01.002
10.1007/978-3-030-14105-9_3,10.1018/13629395.2018.1434595
10.1007/978-3-030-01923-5_4,10.1061/(asce)10900241(2005)131:1(84)
10.1007/s12517-020-05704-0,10.1007/s10706-019-01181-9(0123456789
10.1007/978-1-4939-2565-0_88,10.1680/htfs.41530.109
10.1007/s11368-020-02698-w,10.4014/jmb.1012.12015
10.1145/1052883.1052894,10.5555/951952.952340
10.3389/fcell.2019.00268,10.1186/s13287-018-10347
10.7717/peerj.8237,10.3799/dqkx.2019.054v
10.1161/strokeaha.110.612010,10.1161/str.32.7.1532
10.1161/jaha.119.015731,10.1161/str.30.7.1396
10.1161/01.hyp.0000054214.10670.4c,10.1161/hyp.34.4.744
10.1145/3296979.3192380,10.5555/2190025.2190067
10.1145/2534169.2486002,10.5555/1251375.1251396
10.1161/01.str.24.2.200,10.1161/str.16.1.3917584
10.1007/s12035-019-01742-2,10.1080/10715762.2018
10.1007/978-3-319-68845-9_25-1,10.7202/038662a
10.1161/atvbaha.119.311998,10.1161/circ.99.16.2079
10.1007/978-3-319-57196-6_32,10.1080/15374416.2013.787622.
10.1177/2333721415621812,10.1001/jama2014:10706
10.1161/01.cir.87.3.972,10.1161/res.44.2.216503
10.2307/3816163,10.2307/1871340
10.1152/japplphysiol.00179.2015,10.1136/bmjopen-2015-007911.
10.7717/peerj.5754,10.11674/zwyf.still.2014.0614
10.2307/4089274,10.2307/4534595
10.1080/00224545.2014.953024,10.1037/1089–2680.2.2.175
10.1080/09585192.2016.1276091,10.1177/001872671244047
10.1038/s41598-019-50172-6,10.18632/oncotarget.8953.
10.1161/01.hyp.27.6.1245,10.1161/res.38.5.1269073
10.1177/0022022119835979,10.1037/a002671
10.1161/01.cir.40.4.563,10.1161/circ.33.3.347
10.1145/3292500.3330846,10.5555/3060832.3060932
10.1161/01.hyp.31.5.1146,10.1161/hyp.25.6.1301
10.1601/ex.2748,10.4056/sigs.1553862
10.1080/13562517.2016.1198760,10.1515/9780804771160
10.3389/fped.2020.619065,10.1016/j.ejcts.2009.03061
10.1080/19345747.2020.1799464,10.32674/jis.v0i0.605
10.7717/peerj.6946,10.1038/s41589-018-20416-y
10.3389/fbioe.2019.00197,10.1158/2159-8290
10.1161/01.res.0000036901.58329.d7,10.1161/atvb.16.8.926
10.3389/fncir.2014.00116,10.1007/s10162-009-0200-200
10.1161/01.cir.53.5.908,10.1161/circ.49.4.673
10.1080/07373937.2018.1502195,10.1016/j.buildenv.2011.07.025.
10.1007/978-3-658-31501-6_3,10.2307/2984809
10.1161/01.res.83.11.1144,10.1161/res.51.5.7139882
10.1161/01.res.69.2.519,10.1161/res.54.2.6319044
10.1177/1368430219874103,10.1038/s41562–017–0151
10.1007/s11696-017-0154-3,10.4103/2230-8210.104057
10.3389/fcimb.2019.00245,"10.1038/s,41598-017-04125-6"
10.1145/2835776.2835779,10.5555/2283516.2283603
10.1145/3155133.3155168,10.5555/203987.203989
10.1145/2729094.2742617,10.5555/2667369.2667378
10.1002/pst.1561,10.1201/9780429246593
10.1145/3407703.3407710,10.5555/2002472.2002492
