Invalid_cited_DOI,Cleaned_prefix_DOI
10.1021/jm060657g.http://dx.doi.org/10.1021/jm060657g,10.1021/jm060657g
10.1007/s10562-008-9758-0.http://dx.doi.org/10.1007/s10562-008-9758-0,10.1007/s10562-008-9758-0
10.1124/mol.105.014068.http://dx.doi.org/10.1124/mol.105.014068,10.1124/mol.105.014068
10.2478/s11687-009-0025-8http://dx.doi.org/10.2478/s11687-009-0025-8,10.2478/s11687-009-0025-8
10.1080/03602550500373709.http://dx.doi.org/10.1080/03602550500373709,10.1080/03602550500373709
10.1016/j.electacta.2006.12.032.http://dx.doi.org/10.1016/j.electacta.2006.12.032,10.1016/j.electacta.2006.12.032
10.1021/jp902295v.http://dx.doi.org/10.1021/jp902295v,10.1021/jp902295v
10.2307/3546041http://dx.doi.org/10.2307/3546041,10.2307/3546041
10.1016/j.ecolind.2009.04.010http://dx.doi.org/10.1016/j.ecolind.2009.04.010,10.1016/j.ecolind.2009.04.010
10.1021/j100202a055.http://dx.doi.org/10.1021/j100202a055,10.1021/j100202a055
10.1016/j.cattod.2008.07.008.http://dx.doi.org/10.1016/j.cattod.2008.07.008,10.1016/j.cattod.2008.07.008
10.1016/j.vaccine.2007.07.021.http://dx.doi.org/10.1016/j.vaccine.2007.07.021,10.1016/j.vaccine.2007.07.021
10.1002/cber.19270601108.http://dx.doi.org/10.1002/cber.19270601108,10.1002/cber.19270601108
10.1007/s00436-013-3420-5.http://dx.doi.org/10.1007/s00436-013-3420-5,10.1007/s00436-013-3420-5
10.2174/1573406411309010011.http://dx.doi.org/10.2174/157340613804488297,10.2174/1573406411309010011
10.2136/sssaj1980.03615995004400030004x.http://dx.doi.org/10.2136/sssaj1980.03615995004400030004x,10.2136/sssaj1980.03615995004400030004x
10.1016/j.chroma.2009.05.090.http://dx.doi.org/10.1016/j.chroma.2009.05.090,10.1016/j.chroma.2009.05.090
10.1039/c2cy00454b.http://dx.doi.org/10.1039/c2cy00454b,10.1039/c2cy00454b
10.1016/j.chemosphere.2004.11.018.http://dx.doi.org/10.1016/j.chemosphere.2004.11.018,10.1016/j.chemosphere.2004.11.018
10.1111/j.1751-0813.2002.tb10967.x.http://dx.doi.org/10.1111/j.1751-0813.2002.tb10967.x,10.1111/j.1751-0813.2002.tb10967.x
10.1016/j.apcata.2009.06.047.http://dx.doi.org/10.1016/j.apcata.2009.06.047,10.1016/j.apcata.2009.06.047
10.1016/j.ab.2008.09.029.http://dx.doi.org/10.1016/j.ab.2008.09.029,10.1016/j.ab.2008.09.029
10.1007/s00436-010-2223-1.http://dx.doi.org/10.1007/s00436-010-2223-1,10.1007/s00436-010-2223-1
10.1002/anie.200703397.http://dx.doi.org/10.1002/anie.200703397,10.1002/anie.200703397
10.1016/j.cct.2003.11.002.http://dx.doi.org/10.1016/j.cct.2003.11.002,10.1016/j.cct.2003.11.002
10.1016/j.desal.2007.10.018.http://dx.doi.org/10.1016/j.desal.2007.10.018,10.1016/j.desal.2007.10.018
10.1039/j19690001607.http://dx.doi.org/10.1039/j19690001607,10.1039/j19690001607
10.1016/j.biortech.2007.10.019.http://dx.doi.org/10.1016/j.biortech.2007.10.019,10.1016/j.biortech.2007.10.019
10.1016/j.aca.2005.05.044.http://dx.doi.org/10.1016/j.aca.2005.05.044,10.1016/j.aca.2005.05.044
10.1002/pol.1951.120070403.http://dx.doi.org/10.1002/pol.1951.120070403,10.1002/pol.1951.120070403
10.1039/b813564a.http://dx.doi.org/10.1039/b813564a,10.1039/b813564a
10.1016/j.enzmictec.2005.08.019.http://dx.doi.org/10.1016/j.enzmictec.2005.08.019,10.1016/j.enzmictec.2005.08.019
10.2478/s11696-009-0114-7.http://dx.doi.org/10.2478/s11696-009-0114-7,10.2478/s11696-009-0114-7
10.1292/jvms.10-0472.http://dx.doi.org/10.1292/jvms.10-0472,10.1292/jvms.10-0472
10.1016/0379-6779(93)91194-7.http://dx.doi.org/10.1016/0379-6779(93)91194-7,10.1016/0379-6779(93)91194-7
10.1021/jp9097155.http://dx.doi.org/10.1021/jp9097155,10.1021/jp9097155
10.1002/chem.200900060.http://dx.doi.org/10.1002/chem.200900060,10.1002/chem.200900060
10.2307/3225357.http://dx.doi.org/10.2307/3225357,10.2307/3225357
10.1021/j100134a019.http://dx.doi.org/10.1021/j100134a019,10.1021/j100134a019
10.1021/ma9700486.http://dx.doi.org/10.1021/ma9700486,10.1021/ma9700486
10.1002/pola.23913.http://dx.doi.org/10.1002/pola.23913,10.1002/pola.23913
10.1016/j.energy.2010.11.040.http://dx.doi.org/10.1016/j.energy.2010.11.040,10.1016/j.energy.2010.11.040
10.1016/0379-6779(87)90893-9.http://dx.doi.org/10.1016/0379-6779(87)90893-9,10.1016/0379-6779(87)90893-9
10.1016/j.electacta.2011.04.092.http://dx.doi.org/10.1016/j.electacta.2011.04.092,10.1016/j.electacta.2011.04.092
10.1002/star.200400380.http://dx.doi.org/10.1002/star.200400380,10.1002/star.200400380
10.2478/s11696-007-0049-9.http://dx.doi.org/10.2478/s11696-007-0049-9,10.2478/s11696-007-0049-9
10.1002/jcc.20717.http://dx.doi.org/10.1002/jcc.20717,10.1002/jcc.20717
10.1021/jp000028x.http://dx.doi.org/10.1021/jp000028x,10.1021/jp000028x
10.1016/j.jphotochem.2011.07.015http://dx.doi.org/10.1016/j.jphotochem.2011.07.015,10.1016/j.jphotochem.2011.07.015
10.1007/s11259-009-9245-0http://dx.doi.org/10.1007/s11259-009-9245-0,10.1007/s11259-009-9245-0
10.1016/j.wasman.2009.09.021.http://dx.doi.org/10.1016/j.wasman.2009.09.021,10.1016/j.wasman.2009.09.021
10.1016/j.bej.2007.07.019.http://dx.doi.org/10.1016/j.bej.2007.07.019,10.1016/j.bej.2007.07.019
10.1021/cm052065c.http://dx.doi.org/10.1021/cm052065c,10.1021/cm052065c
10.1111/btp.12015.https://doi.org/10.1111/btp.12015,10.1111/btp.12015
10.1076/ocii.11.4.269.18266.http://dx.doi.org/10.1076/ocii.11.4.269.18266,10.1076/ocii.11.4.269.18266
10.1016/j.tetlet.2004.01.115.http://dx.doi.org/10.1016/j.tetlet.2004.01.115,10.1016/j.tetlet.2004.01.115
10.1016/0014-4894(68)90048-9.http://dx.doi.org/10.1016/0014-4894(68)90048-9,10.1016/0014-4894(68)90048-9
10.1016/j.catcom.2006.10.026.http://dx.doi.org/10.1016/j.catcom.2006.10.026,10.1016/j.catcom.2006.10.026
10.1039/b211340f.http://dx.doi.org/10.1039/b211340f,10.1039/b211340f
10.1007/s00214-006-0138-9.http://dx.doi.org/10.1007/s00214-006-0138-9,10.1007/s00214-006-0138-9
10.1016/j.jcis.2006.06.026.http://dx.doi.org/10.1016/j.jcis.2006.06.026,10.1016/j.jcis.2006.06.026
10.1016/j.molcatb.2003.12.016.http://dx.doi.org/10.1016/j.molcatb.2003.12.016,10.1016/j.molcatb.2003.12.016
10.1016/j.saa.2004.07.029.http://dx.doi.org/10.1016/j.saa.2004.07.029,10.1016/j.saa.2004.07.029
10.1016/0003-2670(86)80028-9.http://dx.doi.org/10.1016/0003-2670(86)80028-9,10.1016/0003-2670(86)80028-9
10.1016/j.idairyj.2004.03.008.http://dx.doi.org/10.1016/j.idairyj.2004.03.008,10.1016/j.idairyj.2004.03.008
