Valid_citing_DOI,Invalid_cited_DOI,Valid_DOI,Already_valid,Prefix_error,Suffix_error,Other-type_error
10.1038/s41598-017-09356-1,10.3748/wjg.v20.i4.908.,10.3748/WJG.V20.I4.908,0,0,1,0
10.1186/s12958-018-0357-7,10.3402/fnr.v3459.25866,,0,0,0,0
10.1515/pjct-2016-0045,10.1039/409582,,0,0,0,0
10.1145/2509136.2509523,10.5555/2486788.2486897,,0,0,0,0
10.3389/fnhum.2014.00771,10.1111/j.1530-0277.2006.00133,,0,0,0,0
10.1016/j.jand.2015.05.019,10.3109/03093649709164525,10.3109/03093649709164525,1,0,0,0
10.1369/0022155420937371,10.1016/j.bone.2013.01.022.,10.1016/J.BONE.2013.01.022,0,0,1,0
10.1161/atvbaha.113.303097,10.1161/atv91.11.4.2065049,,0,0,0,0
10.1145/191843.191880,10.5555/647223.718907,,0,0,0,0
10.1161/01.cir.88.2.481,10.1161/circ.86.2.1638712,,0,0,0,0
10.1161/circulationaha.115.019645,10.1161/circ.104.8.914,,0,0,0,0
10.1007/978-3-030-50892-0_17,10.4324/9781315793207.,10.4324/9781315793207,0,0,1,0
10.1145/1670679.1670680,10.5555/257734.257788,,0,0,0,0
10.3390/s19153339,10.251/36141,,0,0,0,0
10.1002/qj.2479,10.1088/1748‐9326/7/1/015602,,0,0,0,0
10.1515/apd-2015-0011,"10.1002/asi.22647,pp.2206-2222",,0,0,0,0
10.3897/herpetozoa.32.e37094,10.30906/1026-2296-2018-25-3-221-226,10.30906/1026-2296-2018-25-3-221-226,1,0,0,0
10.1002/9781119438519.ch38,10.1037/0012‐1649.21.6.1016,,0,0,0,0
10.1161/circresaha.116.304710,10.1161/circ.95.12.2643,,0,0,0,0
10.1161/01.str.27.9.1641,10.1161/str.17.6.3810705,,0,0,0,0
10.1161/circulationaha.105.589044,10.1161/str.30.7.1319,,0,0,0,0
10.1088/0960-1317/24/12/125017,10.1108/03056/20910928699,,0,0,0,0
10.1161/01.res.81.1.24,10.1161/circ.91.11.2793,,0,0,0,0
10.2139/ssrn.3397935,10.1257/aer.101,,0,0,0,0
10.1101/476408,10.1371/journal.pbio.0060265.,10.1371/JOURNAL.PBIO.0060265,0,0,1,0
10.18185/erzifbed.420815,10.1088/1742-6596/218/1/012001.,10.1088/1742-6596/218/1/012001,0,0,1,0
10.1080/09168451.2017.1372178,10.1155/2012:816501,,0,0,0,0
10.1016/b978-0-323-35955-9.00017-9,10.1007/s10549-015-3393-4,10.1007/s10549-015-3393-4,1,0,0,0
10.1186/s40824-017-0106-6,10.1002/biof.1266.,,0,0,0,0
10.1161/strokeaha.115.011292,10.1161/str.17.4.3526645,,0,0,0,0
10.4018/978-1-4666-8162-0.ch009,10.1016/2011,,0,0,0,0
10.2174/1381612825666191029101830,10.1007/3-540-05462-6_1,,0,0,0,0
10.1177/1947603517723072,10.1136/ard.2011.152017.,10.1136/ARD.2011.152017,0,0,1,0
10.1161/hypertensionaha.107.105767,10.1161/hyp.33.1.90,,0,0,0,0
10.1525/sp.2009.56.4.647,10.2307/4121407,,0,0,0,0
10.3280/ic2014-274001,10.1412/2543,,0,0,0,0
10.1145/1095809.1095828,10.5555/1060289.1060301,,0,0,0,0
10.1145/3029806.3029829,10.5555/1791834.1791836,,0,0,0,0
10.2307/800121,10.2307/1741585,,0,0,0,0
10.1161/01.hyp.36.4.517,10.1161/circ.101.14.1729,,0,0,0,0
10.1007/s11252-020-01024-z,10.1371/journal.pbio.00400001,,0,0,0,0
10.1049/mnl.2018.5260,10.1007/s12645‐011‐0014‐8,,0,0,0,0
10.1177/1558944719836211,10.1093/bja/aew466.,10.1093/BJA/AEW466,0,0,1,0
10.1002/2013jc009722,10.1016/j.coastleng.2004.02.001,,0,0,0,0
10.1177/1542305016687581,10.1080/02796015.2008.12087908,10.1080/02796015.2008.12087908,1,0,0,0
10.1145/3219819.3220119,10.5555/874063.875554,,0,0,0,0
10.1161/01.cir.62.6.1280,10.1161/circ.61.3.7353237,,0,0,0,0
10.1161/01.cir.77.2.415,10.1161/circ.66.1.7083504,,0,0,0,0
10.1075/dujal.4.1.11zar,10.1007/978−3−531−92105−1_3,,0,0,0,0
10.1161/01.str.22.11.1374,10.1161/str.19.9.3046071,,0,0,0,0
10.1515/intag-2016-0053,"10.1186/1735-2746-10-21,http://www.ijehse.com/content/10/1/21",10.1186/1735-2746-10-21,0,0,1,0
10.1161/01.res.67.2.501,10.1161/res.64.4.2522834,,0,0,0,0
10.1177/1043986211418888,10.3138/9781442604001,10.3138/9781442604001,1,0,0,0
10.1002/tesq.332,10.1177/014616729902500201,,0,0,0,0
10.1186/s40623-020-01245-8,10.4294/jpe1952.34,,0,0,0,0
10.1186/s12954-017-0194-6,10.1080/01443410.2014.998630.,10.1080/01443410.2014.998630,0,0,1,0
10.1002/9781119171492.wecad202,10.1111/j.1741‐3729.2003.00352.x,,0,0,0,0
10.15446/caldasia.v41n1.71327,10.1046/j.1365-2699.2000.00397,,0,0,0,0
10.1161/01.cir.20.6.1063,10.1161/res.4.5.579,,0,0,0,0
10.2478/s11686-009-0028-0,10.1016/0014-4894(72)90103-8.http://dx.doi.org/10.1016/0014-4894(72)90103-8,10.1016/0014-4894(72)90103-8,0,1,0,0
10.3390/hydrology7020033,10.12691/ajwr-5-4-3,,0,0,0,0
10.1002/2017jc012947,10.1098/rstl.1987.0004,,0,0,0,0
10.1177/1077801217697207,10.2307/20058969,,0,0,0,0
10.1186/s12864-020-07074-z,10.1371/journal.pone.0174717.ecollection,,0,0,0,0
10.1049/iet-cvi.2014.0432,10.1007/s10846‐014‐0039‐4,,0,0,0,0
10.1161/strokeaha.109.549576,10.1161/str.30.10.2008,,0,0,0,0
10.1161/01.res.0000137170.41939.d9,10.1161/circ.91.6.1824,,0,0,0,0
10.3103/s1068366613010091,10.30970/jps.11.268,10.30970/jps.11.268,1,0,0,0
10.1080/01490400.2020.1713938,10.1002/yd20112,,0,0,0,0
10.1002/qj.2742,10.1002/qj.49712757802.,10.1002/QJ.49712757802,0,0,1,0
10.1007/s12144-018-9785-y,10.1177/1740774516673365.,10.1177/1740774516673365,0,0,1,0
10.1161/01.cir.64.3.499,10.1161/circ.35.1.158,,0,0,0,0
10.3847/1538-3881/ab4907,10.1089/ast.2007.022,,0,0,0,0
10.1007/s11540-018-9368-1,10.1007/s12230-0169509-5,,0,0,0,0
10.3389/fcell.2016.00002,10.1038/onc.2c.2011.527,,0,0,0,0
10.1161/circ.106.25.3373,10.1161/atv91.13.1.8422338,,0,0,0,0
10.1080/10426914.2020.1843665,10.29391/2019.98.026,,0,0,0,0
10.1007/s40011-016-0791-2,10.4014/jmb.0812.649,,0,0,0,0
10.1161/01.res.52.4.401,10.1161/res.50.4.6802513,,0,0,0,0
10.1161/cir.0000000000000527,10.1161/str.9.4.675750,,0,0,0,0
10.1016/j.cca.2020.09.015,10.3389/fmolb.2020.00157,10.3389/fmolb.2020.00157,1,0,0,0
10.1145/2966986.2980092,10.5555/2132325.2132415,,0,0,0,0
10.1027/0227-5910/a000413,10.1080/87568225.2012.659158,,0,0,0,0
10.1029/2011pa002160,10.1046/j.1365‐3091.2001.00412.x,,0,0,0,0
10.2478/s11696-012-0142-6,10.1002/app.23704.http://dx.doi.org/10.1002/app.23704,10.1002/APP.23704,0,1,0,0
10.1007/s00709-019-01425-8,10.1007/s11738-012-1103,,0,0,0,0
10.1161/01.res.64.1.136,10.1161/str.6.3.308,,0,0,0,0
10.1177/1470412920964905,10.25969/mediarep/3402.,10.25969/MEDIAREP/3402,0,0,1,0
10.4041/kjod.2020.50.4.278,10.1043/0003-3219(1996)066,,0,0,0,0
10.1177/0018578720910395,10.1016/j.amjsurg.2019.06.001.,10.1016/J.AMJSURG.2019.06.001,0,0,1,0
10.1007/s10900-019-00739-1,10.1093/aging/afy169,,0,0,0,0
10.3389/fnbeh.2020.00004,10.1016/j.bbi.2009.12.2009,,0,0,0,0
10.1007/s11103-020-00962-8,10.1101/gr.849004.1,,0,0,0,0
10.1161/01.atv.19.4.1134,10.1161/atvb.16.12.1448,,0,0,0,0
10.7899/jce-12-32,10.1002/j.0022-0337.2002.66.3.tb03517.x,10.1002/j.0022-0337.2002.66.3.tb03517.x,1,0,0,0
10.1161/01.cir.60.7.1464,10.1161/circ.52.4.1157268,,0,0,0,0
10.1080/17470919.2013.873078,10.1093/brain/aw1004,,0,0,0,0
10.1007/s10854-020-03896-5,10.1103/physrevb.83.184301s,,0,0,0,0
10.1145/1352322.1352227,10.5555/938983.939722,,0,0,0,0
10.1161/01.cir.0000097002.69209.cd,10.1161/circ.91.12.2995,,0,0,0,0
10.1161/01.res.78.1.137,10.1161/res.74.5.8156647,,0,0,0,0
10.1108/jec-01-2020-0010,10.1007/s2232-019-00330-z,,0,0,0,0
10.1080/01691864.2012.685223,10.1163/156855307781746061,10.1163/156855307781746061,1,0,0,0
10.1108/aaouj-06-2020-0039,10.1080/105805.30.2011.536115,,0,0,0,0
10.1161/01.hyp.0000092882.65699.19,10.1161/hyp.38.5.1049,,0,0,0,0
10.1080/09243453.2015.1114500,10.1044/0161-1461,,0,0,0,0
10.1007/s13744-018-0598-3,10.1152/ajpregu.00297,,0,0,0,0
10.1080/10643389.2019.1565554,10.1016/j.ram.2016.11.007.x,,0,0,0,0
10.3280/para2013-002013,10.7208/chicago/9780226114798.001.000,,0,0,0,0
10.1161/01.cir.42.5.903,10.1161/circ.1.4.536,,0,0,0,0
10.1155/2013/875369,10.1002/art.25378,,0,0,0,0
10.1161/circimaging.109.923672,10.1161/circ.99.6.763,,0,0,0,0
10.1080/07491409.2020.1834036,10.5964/ejop.v12i13.1105,,0,0,0,0
10.1016/b978-072160361-2.50015-6,10.3109/03093649709164551,10.3109/03093649709164551,1,0,0,0
10.1080/15384047.2017.1373212,10.1038/nature14129.,10.1038/NATURE14129,0,0,1,0
10.3390/mi11100886,10.1038/s41378-020-0143-5,10.1038/s41378-020-0143-5,1,0,0,0
10.1161/01.cir.96.5.1542,10.1161/res.62.2.3338122,,0,0,0,0
10.3835/plantgenome2017.10.0089,10.1007/s00122‐006‐0352‐9,,0,0,0,0
10.1145/2785830.2785886,10.5555/851037.856538,,0,0,0,0
10.1007/s13205-018-1393-x,10.1016/j.plantsci.2007.07.019,,0,0,0,0
10.1038/s41396-019-0458-0,10.1098/rspb.2016.159,,0,0,0,0
10.3389/fmicb.2020.00123,10.2527/jas2012-5118,,0,0,0,0
10.1161/01.cir.45.1.37,10.1161/circ.40.6.905,,0,0,0,0
10.1161/01.res.0000059415.25070.54,10.1161/res.88.10.1004,,0,0,0,0
10.1101/249227,10.1016/j.celrep.2016.05.039.,10.1016/J.CELREP.2016.05.039,0,0,1,0
10.1161/01.cir.49.5.1019-b,10.1161/circ.45.4.878,,0,0,0,0
10.1080/0092623x.2019.1654579,10.1007/s111999-012-0164-0,,0,0,0,0
10.4252/wjsc.v6.i2.163,10.1101/cshperspect.a007732a007732,,0,0,0,0
10.1161/01.cir.98.14.1414,10.1161/circ.74.5.3769170,,0,0,0,0
10.1177/2053019613516290,10.1088/1748–9326/8/1/011001,,0,0,0,0
10.1080/15377857.2016.1171819,10.1111/j.1460–2466.2006.00009.x,,0,0,0,0
10.1161/hypertensionaha.107.183885,10.1161/circ.83.2.1671346,,0,0,0,0
10.1007/s11901-016-0321-y,10.4093/dmj.2016.40.e11,,0,0,0,0
10.14710/jwl.8.1.84-95,10.3828/idpr.29.4.4.,10.3828/IDPR.29.4.4,0,0,1,0
10.1186/s13068-020-01830-9,10.1002/bbb.16344,,0,0,0,0
10.1145/2858788.2688515,10.5555/645670.665370,,0,0,0,0
10.1007/s12650-020-00696-1,10.1057/ivs.2010.10,10.1057/ivs.2010.10,1,0,0,0
10.1161/hc0402.102931,10.1161/circ.92.3.342,,0,0,0,0
10.3390/ani10030527,10.2310/6180.2009.00035,,0,0,0,0
10.3389/fphys.2018.01503,10.1136/jnnp.54.3.21,,0,0,0,0
10.1002/9781119300762.wsts0035,10.1038/s41598‐018‐24057‐2,,0,0,0,0
10.1145/1353535.1346298,10.5555/822079.822712,,0,0,0,0
10.1177/0001839219832813,10.1287/mnsc.2017.2879.,10.1287/MNSC.2017.2879,0,0,1,0
10.1161/01.cir.96.7.2376,10.1161/res.77.5.1030,,0,0,0,0
10.1161/01.str.30.1.16,10.1161/str.25.5.8165689,,0,0,0,0
10.1161/01.cir.101.9.955,10.1161/circ.77.2.2962786,,0,0,0,0
10.1161/01.cir.96.6.2069,10.1161/circ.88.5.8222108,,0,0,0,0
10.1080/01495739.2019.1629854,"10.1007/s00707-018-2357-2,",10.1007/S00707-018-2357-2,0,0,1,0
10.1049/mnl.2013.0105,10.1007/s00289‐012‐0726‐x,,0,0,0,0
10.1161/01.res.0000162000.03997.65,10.1161/circ.99.6.800,,0,0,0,0
10.1038/pr.2017.274,10.1159/000342545,10.1159/000342545,1,0,0,0
10.1007/978-3-030-47956-5_17,10.5281/zenodo.3243834,10.5281/zenodo.3243834,1,0,0,0
10.1101/401588,10.18637/jss.v067.i0,,0,0,0,0
10.1161/circulationaha.112.153619,10.1161/str.21.11.2237954,,0,0,0,0
10.1177/1756284819834511,10.1136/gutjnl-2018-316371.,10.1136/GUTJNL-2018-316371,0,0,1,0
10.1093/mnras/staa2473,10.1007/978-90-277-2155-6_17,,0,0,0,0
10.1108/jedt-07-2020-0279,10.5267/j.ijiec.2014.10.001.,10.5267/J.IJIEC.2014.10.001,0,0,1,0
10.1080/16742834.2019.1617626,10.1256/gj.01.211,,0,0,0,0
10.1140/epjp/s13360-020-00940-5,10.1007/s10825018-1278-6,,0,0,0,0
10.1007/s11738-020-03107-y,10.1093/jxb/err2,,0,0,0,0
10.3390/buildings9040095,10.1061/9780784480502.018],,0,0,0,0
10.2478/s11696-012-0183-x,10.1006/jcat.2001.3474.http://dx.doi.org/10.1006/jcat.2001.3474,10.1006/JCAT.2001.3474,0,1,0,0
10.3389/fphar.2014.00234,10.3389/fphar.2r.2014.00120,,0,0,0,0
10.1177/0011392119886863,10.2307/j.ctv14gpj55,10.2307/j.ctv14gpj55,1,0,0,0
10.1080/15548627.2017.1379633,10.1093/hmg/ddu395.,10.1093/HMG/DDU395,0,0,1,0
10.1161/01.str.0000236053.37695.15,10.1161/str.29.1.23,,0,0,0,0
10.1145/3360047,10.5555/998675.999448,,0,0,0,0
10.1177/1942602x13497666,10.1542/peds.2008–0382,,0,0,0,0
10.1080/02699206.2019.1619095,10.1044/1092-4388(2012/11-0316)a,,0,0,0,0
10.1053/sonu.2001.27916,10.1634/theoncologist.4-1-45,10.1634/theoncologist.4-1-45,1,0,0,0
10.1161/01.cir.104.3.365,10.1161/circ.99.19.2503,,0,0,0,0
10.1161/01.res.72.2.341,10.1161/res.57.5.4053303,,0,0,0,0
10.1101/2020.04.28.065938,10.1093/molbev/msx148.,10.1093/MOLBEV/MSX148,0,0,1,0
10.1007/978-3-319-76162-6_3,10.1007/s11051–014–2838-8,,0,0,0,0
10.1002/2015ja022155,10.5194/angeo‐23‐3775‐2005,,0,0,0,0
10.1145/3276604.3276618,10.5555/1946313.1946326,,0,0,0,0
10.1063/1.3521397,10.1016./j.pecs.2004.08.002,,0,0,0,0
10.3390/su12219244,10.5829/idosi.wasj.2015.33.09.156111,,0,0,0,0
10.1525/sp.2009.56.2.267,10.2307/4106140,,0,0,0,0
10.1016/j.ijdevneu.2017.01.008,10.1007/s00221‐015‐4243‐7,,0,0,0,0
10.1161/01.cir.88.5.2139,10.1161/circ.83.2.1991363,,0,0,0,0
10.1049/trit.2019.0018,10.1007/s00170‐018‐1925‐x,,0,0,0,0
10.3923/pjbs.2020.1473.1480,10.1515/iaast.0976-4828.10.2.172177,,0,0,0,0
10.1177/1748895817728381,10.1080/10439463.2016.1151881.,10.1080/10439463.2016.1151881,0,0,1,0
10.1161/01.cir.91.5.1480,10.1161/res.53.2.6883644,,0,0,0,0
10.1161/01.res.0000186188.38344.13,10.1161/atvb.20.9.2094,,0,0,0,0
10.1161/01.cir.42.2.347,10.1161/circ.33.3.426,,0,0,0,0
10.1080/10509674.2012.751952,10.1111/j.1745–9125.1990.tb01330.x,,0,0,0,0
10.1139/gen-2012-0110,10.4454/jpp.v92i1.10,,0,0,0,0
10.1145/2768177.2768178,10.5555/1965079,,0,0,0,0
10.1186/s13662-020-03177-9,10.1016/j.aej.2019.12.02,,0,0,0,0
10.1161/01.res.21.5.717,10.1161/res.21.3.341,,0,0,0,0
10.1007/s11145-018-9875-0,10.1111/j.1540-5826.2011.00342,,0,0,0,0
10.1155/2015/176238,10.1175/1520-0442(1993)00660;1754:saivor62;2.0.co;2,,0,0,0,0
10.3835/plantgenome2013.03.0007,10.1186/1471‐2229‐12‐16,,0,0,0,0
10.1177/0959683620981709,10.1016/j.quascirev.2015.05.012.,10.1016/J.QUASCIREV.2015.05.012,0,0,1,0
10.1145/2508148.2485969,10.5555/2014698.2014902,,0,0,0,0
10.1161/01.cir.91.3.776,10.1161/circ.89.1.8281670,,0,0,0,0
10.1145/3025171.3025191,10.5555/1953048.2078195,,0,0,0,0
10.1161/01.str.0000078840.96473.20,10.1161/str.30.8.1591,,0,0,0,0
10.1007/978-3-319-61055-9_2,10.1186/2212-9790-13-1,10.1186/2212-9790-13-1,1,0,0,0
10.1161/01.str.30.2.371,10.1161/str.26.11.1990,,0,0,0,0
10.2307/4088412,10.2307/4217331,,0,0,0,0
10.1177/2632352420975043,10.1111/j.1753-6405.2012.00825.x.,10.1111/J.1753-6405.2012.00825.X,0,0,1,0
10.1145/2593882.2593896,10.5555/2486788.2486848,,0,0,0,0
10.1161/01.atv.0000091250.53231.4d,10.1161/atvb.16.8.926,,0,0,0,0
10.1161/res.90.1.8,10.1161/hyp.37.2.408,,0,0,0,0
10.1161/01.atv.19.9.2148,10.1161/str.27.10.1896,,0,0,0,0
10.2139/ssrn.3358930,10.4103/0975-�-7406.163460>accessed8,,0,0,0,0
10.1007/978-3-030-16581-9_6,10.5829/idosi.mejsr.2013.16.08.11096,,0,0,0,0
10.1145/3320269.3384730,10.5555/2028040.2028050,,0,0,0,0
10.1145/3424636.3426896,10.5555/3128975.3129006,,0,0,0,0
10.1063/1.4931709,10.1088/1009-0630/17/1/01),,0,0,0,0
10.1161/strokeaha.109.555169,10.1161/str.29.5.949,,0,0,0,0
10.1161/circ.112.8.iii,10.1161/circ.98.10.941,,0,0,0,0
10.1161/hypertensionaha.110.152892,10.1161/hyp.30.3.422,,0,0,0,0
10.1145/3276500,10.5555/1764606.1764620,,0,0,0,0
10.1161/01.res.0000089257.94002.96,10.1161/res.78.5.750,,0,0,0,0
10.1007/978-3-662-48842-3_15,10.1007/s00384-013-1657–1,,0,0,0,0
10.1161/01.atv.17.11.2737,10.1161/str.24.3.8446976,,0,0,0,0
10.3389/fpsyg.2018.01616,10.3389/fpsyg.2012.00382.,10.3389/FPSYG.2012.00382,0,0,1,0
10.1161/01.cir.0000127958.21003.5a,10.1161/circ.99.21.2720,,0,0,0,0
10.1161/01.hyp.0000196685.91424.01,10.1161/hyp.31.5.1166,,0,0,0,0
10.1161/circulationaha.120.048378,10.1161/circ.92.5.1355,,0,0,0,0
10.1080/15332861.2015.1121459,10.2753/jec1086-4415150203.,10.2753/JEC1086-4415150203,0,0,1,0
10.1113/jphysiol.2014.270892,10.3748/wjg.v18.i37.5151,10.3748/wjg.v18.i37.5151,1,0,0,0
10.1161/hy0202.103129,10.1161/res.63.3.3409490,,0,0,0,0
10.1080/19477503.2017.1401033,10.3102/0013189×08329195,,0,0,0,0
10.2478/sjecr-2018-0073,10.1093/humupd/dml03310.1007,,0,0,0,0
10.2134/agronj2019.02.0079,10.1007/s11119‐004‐5318‐9,,0,0,0,0
10.1007/s10853-016-0370-1,10.10007/s10853-015-9169-8,,0,0,0,0
10.1007/978-1-4939-8552-4_6,10.1038/:9604,,0,0,0,0
10.1016/j.jup.2016.02.001,10.17813/maiq.12.1.b05j1087v7pxg382,10.17813/maiq.12.1.b05j1087v7pxg382,1,0,0,0
10.1145/2943782,10.5555/2922514.2922654,,0,0,0,0
10.1007/s13364-018-0408-7,10.1155/2014/28694,,0,0,0,0
10.1080/23269995.2014.900395,10.1080/13569310500395834.,10.1080/13569310500395834,0,0,1,0
10.1161/01.res.84.9.1095,10.1161/circ.90.6.7994847,,0,0,0,0
10.1093/eurheartj/ehq482,10.1059/0003-4819-152-5-201003020-00004,,0,0,0,0
10.1161/hh0801.090537,10.1161/circ.74.5.3769170,,0,0,0,0
10.3280/pds2015-003007,10.1177/135910530505530,,0,0,0,0
10.3389/fpls.2016.01333,10.1111/j.1672-9072.2007.00393.x,,0,0,0,0
10.1080/10413200.2018.1512535,10.1016/j.smr(2009).03.001,,0,0,0,0
10.1161/01.atv.19.2.212,10.1161/circ.88.1.7686453,,0,0,0,0
10.1111/psyp.12062,10.1111/j.1469‐8986.1993.tb03209.x,,0,0,0,0
10.1145/3328529.3328548,10.5555/1388316.1388329,,0,0,0,0
10.1007/5584_2018_144,10.1177/1474515117737766.,10.1177/1474515117737766,0,0,1,0
10.1038/s41598-017-01593-8,10.1130/0016-7606,,0,0,0,0
10.1080/02827581.2016.1195866,10.1007/s11842-005-0024-7,10.1007/s11842-005-0024-7,1,0,0,0
10.1161/01.cir.28.5.906,10.1161/circ.10.2.161,,0,0,0,0
10.1126/scitranslmed.3003678,10.1059/0003-4819-114-11-954,,0,0,0,0
10.1080/13218719.2014.949397,10.1348/135532509´449361,,0,0,0,0
