Valid_citing_DOI,Invalid_cited_DOI,Valid_DOI,Already_valid,Prefix_error,Suffix_error,Other-type_error,Pattern,Really_valid
10.1103/physreve.90.022719,10.1007/978-1-62703-023-6\_17,10.1007/978-1-62703-023-6_17,0,0,0,1,\\,
10.1186/s12915-017-0371-9,10.1007/978-3-7091-1871-9\_12,10.1007/978-3-7091-1871-9_12,0,0,0,1,\\,
10.1007/978-3-030-29959-0_35,10.1007/978-3-030-01446-9\_12,10.1007/978-3-030-01446-9_12,0,0,0,1,\\,
10.1007/978-3-030-36614-8_24,10.1007/978-3-319-59767-6\_30,10.1007/978-3-319-59767-6_30,0,0,0,1,\\,
10.1007/978-3-319-06317-1_13,10.1007/978-3-642-35813-5\_4,10.1007/978-3-642-35813-5_4,0,0,0,1,\\,
10.1080/01691864.2016.1277554,10.1007/978-3-642-33715-4\_54,10.1007/978-3-642-33715-4_54,0,0,0,1,\\,
10.1002/9781118784235.eelt0821,10.1007/978-3-319-06127-6__1,10.1007/978-3-319-06127-6_1,0,0,0,1,__,
10.1088/2053-1591/3/9/096503,10.1007/978-3-642-10523-4__4,10.1007/978-3-642-10523-4_4,0,0,0,1,__,
10.1002/2013jb010900,10.1007/978-3-642-37222-3__71,10.1007/978-3-642-37222-3_71,0,0,0,1,__,
10.1007/s40641-017-0056-z,10.1007/978-94-017-8978-3__4,10.1007/978-94-017-8978-3_4,0,0,0,1,__,
10.1007/s11051-019-4459-8,10.1007/978-3-642-22984-8__8,10.1007/978-3-642-22984-8_8,0,0,0,1,__,
10.4018/978-1-7998-1082-7.ch006,10.1007/978-3-319-04765-2__2,10.1007/978-3-319-04765-2_2,0,0,0,1,__,
10.1186/s40663-020-00221-8,10.1007/978-94-017-8663-8__4,10.1007/978-94-017-8663-8_4,0,0,0,1,__,
10.1007/978-3-030-29516-5_81,10.1007/978-3-642-45135-5__17,10.1007/978-3-642-45135-5_17,0,0,0,1,__,
10.1007/978-3-030-12723-7_3,10.1007/978-3-319-00008-4__10,10.1007/978-3-319-00008-4_10,0,0,0,1,__,
10.1007/s41870-018-0206-0,10.1007/978-3-642-28569-1__2,10.1007/978-3-642-28569-1_2,0,0,0,1,__,
10.4252/wjsc.v6.i2.94,10.1111/j..1474-9726.2010.00654.x,10.1111/j.1474-9726.2010.00654.x,0,0,0,1,\.\.,
10.3233/jbr-200534,10.1016/j.scienta..2014.09.038,10.1016/j.scienta.2014.09.038,0,0,0,1,\.\.,
10.1007/s12603-020-1497-y,10.1016/j.eclinm.2020..100463,10.1016/j.eclinm.2020.100463,0,0,0,1,\.\.,
10.1007/978-3-662-61440-2_5,10.1098/rsbl..2015.0883,10.1098/rsbl.2015.0883,0,0,0,1,\.\.,
10.17116/jnevro201711710149-54,10.1016/j.ejpain..2005.06.009,10.1016/j.ejpain.2005.06.009,0,0,0,1,\.\.,
10.2147/ijn.s246797,10.1164/ajrccm.164.9..2101036,10.1164/ajrccm.164.9.2101036,0,0,0,1,\.\.,
10.1155/2013/126564,10.5923/j..chemistry.20120204.09,10.5923/j.chemistry.20120204.09,0,0,0,1,\.\.,
10.3897/evolsyst.3.35737,10..1111/j.1471-8286.2007.01678.x,10.1111/j.1471-8286.2007.01678.x,0,0,0,1,\.\.,
10.1155/2018/1417528,10..1126/science.aac6767,10.1126/science.aac6767,0,0,0,1,\.\.,
10.1155/2018/7359267,10..1126/science.aac6767,10.1126/science.aac6767,0,0,0,1,\.\.,
10.1080/13548506.2015.1120328,10.1037/0022-<xml_add>e</xml_add>3514.52.3.511,10.1037/0022-3514.52.3.511,0,0,0,1,<.*?>.*?</.*?>,
10.4236/nm.2013.44031,10.1083/jcb.200806137<br/>,10.1083/jcb.200806137,0,0,0,1,<.*?/>,
10.4236/ojmip.2015.51001,10.1001/jama.287.3.337<br/>,10.1001/jama.287.3.337,0,0,0,1,<.*?/>,
10.4236/aar.2019.83004,10.3402/gha.v3i0.5302<br/>,10.3402/gha.v3i0.5302,0,0,0,1,<.*?/>,
10.4236/jmp.2020.115040,10.1146/annurev-nucl<br/>-102115-044826,10.1146/annurev-nucl-102115-044826,0,0,0,1,<.*?/>,
10.4236/psych.2019.1012109,10.2991/msetasse-16.2016.368<br/>,10.2991/msetasse-16.2016.368,0,0,0,1,<.*?/>,
10.4236/ojog.2016.65040,10.1016/j.ygyno.2013.02.028<br/>,10.1016/j.ygyno.2013.02.028,0,0,0,1,<.*?/>,
10.4236/jamp.2017.511178,10.1093/acprof:osobl/9780195387711.001.0001<br/>,10.1093/acprof:osobl/9780195387711.001.0001,0,0,0,1,<.*?/>,
10.4236/ojacct.2019.81001,10.4236/ib.2016.81001<br/>,10.4236/ib.2016.81001,0,0,0,1,<.*?/>,
10.4236/fns.2016.712111,10.1016/j.foodchem.2010.11.033<br/>,10.1016/j.foodchem.2010.11.033,0,0,0,1,<.*?/>,
10.4236/jsbs.2013.34037,10.1016/j.fuel.2010.05.034<br/>,10.1016/j.fuel.2010.05.034,0,0,0,1,<.*?/>,
