Valid_citing_DOI,Invalid_cited_DOI,Valid_DOI,Already_valid,Prefix_error,Suffix_error,Other-type_error
10.1007/s00391-017-1280-9,10.1016/j.exphem.2016.06.253.,10.1016/j.exphem.2016.06.253,0,0,1,0
10.1177/1078087420921522,10.1111/j.1541-0072.2006.00146.x.,10.1111/j.1541-0072.2006.00146.x,0,0,1,0
10.3923/jbs.2010.507.513,10.1053/j.semnuclmed.2005.02.002.,10.1053/j.semnuclmed.2005.02.002,0,0,1,0
10.2174/1874325001812010252,10.11604/pamj.2017.26.12.11222.,10.11604/pamj.2017.26.12.11222,0,0,1,0
10.1177/1084822319895982,10.3109/09638288809164103.,10.3109/09638288809164103,0,0,1,0
10.14710/jwl.8.2.116-129,10.1016/j.jafrearsci.2019.103602.,10.1016/j.jafrearsci.2019.103602,0,0,1,0
10.1007/s40596-018-0946-y,10.3205/zma000852.,10.3205/zma000852,0,0,1,0
10.1101/819185,10.1016/j.cub.2013.07.034.,10.1016/j.cub.2013.07.034,0,0,1,0
10.1080/19420862.2017.1380762,10.1002/jms.3554.,10.1002/jms.3554,0,0,1,0
10.1177/1359105315609087,10.1016/j.jaac.2010.01.018.,10.1016/j.jaac.2010.01.018,0,0,1,0
10.1007/978-3-030-36975-0_12,10.1002/mds.22950.,10.1002/mds.22950,0,0,1,0
10.4251/wjgo.v4.i7.156,10.1002/ijc.27565.,10.1002/ijc.27565,0,0,1,0
10.1007/s40495-018-0165-y,10.1007/s00482-015-0087-0.,10.1007/s00482-015-0087-0,0,0,1,0
10.31015/jaefs.2019.2.3,10.1051/agro:19910804.,10.1051/agro:19910804,0,0,1,0
10.1177/1071100716628915,10.1148/rg.304095188.,10.1148/rg.304095188,0,0,1,0
10.1016/j.jrras.2014.02.004,10.1002/bem.2250090102/full,10.1002/bem.2250090102,0,0,1,0
10.1177/8755122518766594,10.1007/s00134-015-3725-1.,10.1007/s00134-015-3725-1,0,0,1,0
10.3389/fimmu.2019.02847,10.1016/j.cgh.2019.04.059.,10.1016/j.cgh.2019.04.059,0,0,1,0
10.1002/sys.21353,10.1002/sdr.213.,10.1002/sdr.213,0,0,1,0
10.1007/s41745-020-00206-0,10.1145/3292500.3330917.,10.1145/3292500.3330917,0,0,1,0
10.1186/s40494-020-00465-1,10.1002/jrs.4914/full,10.1002/jrs.4914,0,0,1,0
10.1177/1745691620952789,10.1177/1745691620927709.,10.1177/1745691620927709,0,0,1,0
10.15237/gida.gd19098,10.1016/j.ejps.2018.07.043.,10.1016/j.ejps.2018.07.043,0,0,1,0
10.2478/s11696-013-0312-1,10.1002/pi.2858.http://dx.doi.org/10.1002/pi.2858,10.1002/pi.2858,0,1,0,0
10.1080/10564934.2016.1208051,10.1177/1750698011434042.,10.1177/1750698011434042,0,0,1,0
10.1080/13613324.2017.1294572,10.1186/1472-6963-8-19.,10.1186/1472-6963-8-19,0,0,1,0
10.1007/s00105-017-3985-5,10.1111/bjd.14768.,10.1111/bjd.14768,0,0,1,0
10.33483/jfpau.561095,10.1016/j.aasci.2018.04.003.,10.1016/j.aasci.2018.04.003,0,0,1,0
10.1007/978-3-030-23311-2_38,10.1007/s10067-018-4109-z.,10.1007/s10067-018-4109-z,0,0,1,0
10.1177/1360780418754565,10.1080/00324720701788616.,10.1080/00324720701788616,0,0,1,0
10.1007/s00784-017-2270-4,10.1097/00004770-200307000-00003.,10.1097/00004770-200307000-00003,0,0,1,0
10.1080/08941939.2017.1300714,10.1055/s-0041-105406;,10.1055/s-0041-105406,0,0,1,0
10.1177/1756286420917830,10.1007/s11427-020-1637-5.,10.1007/s11427-020-1637-5,0,0,1,0
10.1177/0016986216687824,10.1037/0022-0663.69.2.136.,10.1037/0022-0663.69.2.136,0,0,1,0
10.1177/8755122518786262,10.1001/jama.292.8.952.,10.1001/jama.292.8.952,0,0,1,0
10.2478/s11687-014-0228-5,10.1016/j.vetpar.2004.11.013http://dx.doi.org/10.1016/j.vetpar.2004.11.013,10.1016/j.vetpar.2004.11.013,0,1,0,0
10.1007/s10072-019-3701-6,10.1007/s12311-018-0986-6.,10.1007/s12311-018-0986-6,0,0,1,0
10.3389/fnana.2017.00059,10.1007/s12035-016-0040-y.,10.1007/s12035-016-0040-y,0,0,1,0
10.1111/1467-8268.12224,10.1080/00036846.2016.1200180.,10.1080/00036846.2016.1200180,0,0,1,0
10.1177/1178223420980377,10.1001/jamaoncol.2020.2535.,10.1001/jamaoncol.2020.2535,0,0,1,0
10.1080/2162402x.2018.1426423,10.1038/ng.3415.,10.1038/ng.3415,0,0,1,0
10.1007/978-3-030-35798-6_29,10.1068/b34102t.,10.1068/b34102t,0,0,1,0
10.20972/kjee.26.1.201503.83,10.1073/pnas.0910967107.,10.1073/pnas.0910967107,0,0,1,0
10.2478/s11696-012-0302-8,10.2116/bunsekikagaku.60.959.http://dx.doi.org/10.2116/bunsekikagaku.60.959,10.2116/bunsekikagaku.60.959,0,1,0,0
10.1177/1179543318785147,10.1093/database/bav118.,10.1093/database/bav118,0,0,1,0
10.22391/fppc.396057,10.1186/s13584-016-0089-0.,10.1186/s13584-016-0089-0,0,0,1,0
10.1080/17538947.2014.962632,10.1016/j.envsoft.2012.11.005.,10.1016/j.envsoft.2012.11.005,0,0,1,0
10.14710/jil.18.2.218-227,10.1016/j.scitotenv.2017.04.046.,10.1016/j.scitotenv.2017.04.046,0,0,1,0
10.1093/gerona/glz155,10.1503/cmaj.050051.,10.1503/cmaj.050051,0,0,1,0
10.31590/ejosat.649737,10.1016/j.conbuildmat.2019.06.176.,10.1016/j.conbuildmat.2019.06.176,0,0,1,0
10.2478/s11696-008-0047-6,10.1016/j.jpba.2004.02.027.http://dx.doi.org/10.1016/j.jpba.2004.02.027,10.1016/j.jpba.2004.02.027,0,1,0,0
10.1177/1352458518770085,10.1002/jmri.24604.,10.1002/jmri.24604,0,0,1,0
10.1101/250852,10.1038/ng.3430.,10.1038/ng.3430,0,0,1,0
10.2478/s11696-011-0015-4,10.1016/j.fitote.2006.04.010.http://dx.doi.org/10.1016/j.fitote.2006.04.010,10.1016/j.fitote.2006.04.010,0,1,0,0
10.2174/1570179416666191210100754,10.1016/j.ejmech.2010.01.052.,10.1016/j.ejmech.2010.01.052,0,0,1,0
10.2478/s11696-012-0267-7,10.1021/ie0498403.http://dx.doi.org/10.1021/ie0498403,10.1021/ie0498403,0,1,0,0
10.1080/02770903.2018.1536146,10.1186/1471-2288-13-117.,10.1186/1471-2288-13-117,0,0,1,0
10.1080/10667857.2016.1231251,10.1016/j.foodhyd.2010.08.008.,10.1016/j.foodhyd.2010.08.008,0,0,1,0
10.1177/1940161218788956,10.1093/ijpor/edr004.,10.1093/ijpor/edr004,0,0,1,0
10.1108/jcm-04-2016-1778,10.1016/j.ijhm.2010.01.001.,10.1016/j.ijhm.2010.01.001,0,0,1,0
10.1177/1089253217749893,10.1111/ctr.12996.,10.1111/ctr.12996,0,0,1,0
10.1007/s10856-018-6173-y,10.1016/j.burns.2006.04.024.,10.1016/j.burns.2006.04.024,0,0,1,0
10.1080/02723638.2014.909633,10.2747/0272-3638.32.2.156.,10.2747/0272-3638.32.2.156,0,0,1,0
10.1177/0001839218793384,10.5465/amj.2016.0529.,10.5465/amj.2016.0529,0,0,1,0
10.1177/2167702618811079,10.1542/peds.2007-1049.,10.1542/peds.2007-1049,0,0,1,0
10.1369/0022155417746775,10.4161/21688370.2014.977176.,10.4161/21688370.2014.977176,0,0,1,0
10.2478/s11696-013-0453-2,10.1021/jp900096b.http://dx.doi.org/10.1021/jp900096b,10.1021/jp900096b,0,1,0,0
10.1186/s12911-019-0911-z,10.1186/1472-6947-14-81.,10.1186/1472-6947-14-81,0,0,1,0
10.1007/978-3-319-69626-3_60-1,10.1126/science.1111772.,10.1126/science.1111772,0,0,1,0
10.1007/s12633-014-9193-3,10.1007/s12633-013-9158-y.,10.1007/s12633-013-9158-y,0,0,1,0
10.1177/1550147720921775,10.1186/1687-6180-2012-249.,10.1186/1687-6180-2012-249,0,0,1,0
10.1177/1947603516665445,10.1038/nrrheum.2015.170.,10.1038/nrrheum.2015.170,0,0,1,0
10.2478/s11696-009-0048-0,10.1021/jo035397e.http://dx.doi.org/10.1021/jo035397e,10.1021/jo035397e,0,1,0,0
10.1007/978-3-662-48035-9_14,10.1111/j.1464-5491.2010.03203.x.,10.1111/j.1464-5491.2010.03203.x,0,0,1,0
